,DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
88,2022-08-30 23:55:52+00:00,1564763867103862784,  Nah crazy you got that shit backwards being pro life is not a losing issue . Democrats supporting murdering babies by ripping them apart in the womb and calling it reproductive rights is a losing issue . People see thru the democrats bullshit . Abortion is murder .,wtony_tony,en,,0,0,0,0,
89,2022-08-30 23:55:43+00:00,1564763829086867456,  Drazan isn’t able to change oregons abortion laws even if she wanted to. Oregon is safe in that regard.,LondonBritches,en,,0,0,0,0,
90,2022-08-30 23:55:43+00:00,1564763829027962882," If abortion were used as a primary method of birth control, a typical woman would have at least two or three pregnancies per year -- 30 or more during her lifetime.",JaneRozales,en,,0,0,0,0,
91,2022-08-30 23:55:41+00:00,1564763821469683713,"Illegal to give an 8th grade girl Midol BUT it's fine to hide an abortion from her parents and fine to recommend transitioning as well!
More consistent logic from The Left",DocGuido,en,,0,0,0,0,
92,2022-08-30 23:55:33+00:00,1564763786279518208,rapeculturerealities: Florida Judge Who Blocked Teen’s Abortion Loses ReelectionA Florida Judge Who Denied A Teen Girl An Abortion Because Of Her Grades Was Voted Out Of Office Bush was first elected to the Florida state House in 1992. He was... ,LeeAllure,en,,0,1,1,0,
93,2022-08-30 23:55:32+00:00,1564763781376495619,"For Odile Schalit, the service is at the center of abortion care ",JoshAChandler1,en,,0,0,0,0,
94,2022-08-30 23:55:30+00:00,1564763773881274369,"(null) Rubio Challenger Val Demings Refuses to Say When Abortion Should Be Banned
",Shreverj,en,,1,1,0,0,
95,2022-08-30 23:55:30+00:00,1564763773155647488,Abortion pill: Why Japanese women will need their partner's consent to get a tablet ,BBCNews,en,,23,53,99,27,
96,2022-08-30 23:55:29+00:00,1564763770907496448,"    In my experience, all pro-choicers want is more abortion. Misery loves company.",ednasdiner,en,,1,0,0,0,
97,2022-08-30 23:55:29+00:00,1564763769280102402,Anti-abortion OB/GYNs push to correct post-Roe media disinfo | Washington Examiner ,blitziod,en,,0,0,1,0,
98,2022-08-30 23:55:28+00:00,1564763765580578816, How do you feel about abortion? Banning books? The Capitol insurrection? Assault weapons? Trump’s lies? Trump’s stealing WH top secret documents? The Ukraine war? Saving social security &amp; Medicare? Vaccines? No need for debate. Just tell people. ,AliciaHollinger,en,['VoteBlueToSaveAmerica'],0,0,0,0,
99,2022-08-30 23:55:26+00:00,1564763759196995584, Hey Joe! Don’t you understand SCOTUS ruled you and Congress have no say on abortion? You can’t pass a law you have no Constitutional authority over without being unconstitutional yourself.,nightrider7731,en,,0,0,0,0,
